"Reference","Qty","Value","Mouser PN","Datasheet","DNP"
"H1,H2,H5,H6,H7,H8,H9,H13,H14,H15","10","MountingHole_Pad","","~",""
"SW2","1","ON","642-MJTPSHWA","MJTPSHWA",""
"J32","1","EXT DISPLAY","2-ROW x6 PIN HEADER","~",""
"D7,D8","2","1N4148","512-1N4148","1N4148",""
"Q1","1","BC547B","512-BC547BTF","BC547BTF",""
"J69","1","ATX-24","538-39-28-1243","39-28-1243",""
"J1,J6,J11,J16,J21,J26","6","SS50 1-10","571-16403840","MOLEX 1-640384-0",""
"J2,J7,J12,J17,J22,J27","6","SS50 11-20","571-16403840","MOLEX 1-640384-0",""
"J3,J8,J13,J18,J23,J28","6","SS50 21-30","571-16403840","MOLEX 1-640384-0",""
"J4,J9,J14,J19,J24,J29","6","SS50 31-40","571-16403840","MOLEX 1-640384-0",""
"J5,J10,J15,J20,J25,J30","6","SS50 41-50","571-16403840","MOLEX 1-640384-0",""
"J41,J44,J47,J50,J53,J56,J59,J62","8","SS30 1-10","571-16403840","MOLEX 1-640384-0",""
"J42,J45,J48,J51,J54,J57,J60,J63","8","SS30 11-20","571-16403840","MOLEX 1-640384-0",""
"J43,J46,J49,J52,J55,J58,J61,J64","8","SS30 21-30","571-16403840","MOLEX 1-640384-0",""
"J33","1","POWER","571-1-640384-0","MOLEX 1-640384-0",""
"F1","1","3A","576-05200001N","05200001N *2needed",""
"F2,F3,F4","3","0.5A","576-05200001N","05200001N *6needed",""
"C1,C2,C3,C7,C8,C11,C13,C15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C43,C45,C46,C47,C49,C50,C51,C56,C57","42","100N","594-K104K10X7RF53H5","K104K10X7RF53H5",""
"C12","1","22p","594-K220J15COGF5TL2","K220J15COGF5TL2",""
"R3,R11,R13,R14,R15,R16,R17,R22,R30","9","1K","594-MBB02070C1001FCT00","MBB02070C1001FCT00",""
"R5,R6,R7,R23,R24,R25,R26,R27,R28,R29,R32","11","10K","594-MBB02070C1002FCT00","MBB02070C1002FCT00",""
"R4","1","1M","594-MBB02070C1004FCT00","MBB02070C1004FCT00",""
"R1,R2","2","2K2","594-MBB02070C2201FCT00","MBB02070C2201FCT00",""
"R21,R31","2","470R","594-MBB02070C4700FCT00","MBB02070C4700FCT00",""
"R10,R12","2","4K7","594-MBB02070C4701FCT00","MBB02070C4701FCT00",""
"R8,R9,R18,R19,R20","5","680","594-MBB02070C6800FCT00","MBB02070C6800FCT00",""
"U6","1","74LS121","595-SN74121N","SN74121N",""
"U2,U4","2","74LS04","595-SN74LS04N","SN74LS04N",""
"U11","1","74LS14","595-SN74LS14N","SN74LS14N",""
"U12","1","74LS74","595-SN74LS74AN","SN74LS74AN",""
"U8","1","74LS244","595-SN74LS244N","SN74LS244N",""
"U10","1","74LS640","595-SN74LS640N","SN74LS640N",""
"U9","1","74LS688","595-SN74LS688N","SN74LS688N",""
"U5","1","74LS138","595-SN74LS138NE4","SN74LS138NE4",""
"U7","1","74LS32","595-SN74LS32NE4","SN74LS32NE4",""
"D1","1","+16V","604-WP710A10GD","WP710A10GD",""
"D2","1","-16V","604-WP710A10GD","WP710A10GD",""
"D3","1","+8V","604-WP710A10GD","WP710A10GD",""
"D10","1","OK","604-WP710A10GD","WP710A10GD",""
"RN1,RN2,RN3,RN4,RN5,RN6,RN7","7","680R","652-4609X-1LF-680","4609X-101-681LF",""
"C9,C10,C18","3","10uF 16V","667-ECA-1CM100I","ECA-1CM100I",""
"C4,C5,C6","3","220uF 16V","667-ECA-1EM221BJ","ECA-1EM221BJ",""
"D9","1","SBY","696-SSL-LX3044AD","SSL-LX3044AD",""
"D4","1","IO-SEL","743-INL-3AW30","INL-3AW30",""
"D5","1","WRITE","743-INL-3AW30","INL-3AW30",""
"D6","1","READ","743-INL-3AW30","INL-3AW30",""
"C14","1","220p","75-1C10COG221J050B","1C10COG221J050B",""
"SW1","1","SW_DIP_x04","774-2104MST","210-4MS",""
"Y1","1","Crystal","774-MP018B","MP018B",""
"C54,C55","2","1uF","80-C315C105K3R","C315C105K3R5TA",""
"J31","1","BAUD OPTION B","806-SX1100-B","SX1100-B",""
"J66","1","BAUD OPTION A","806-SX1100-B","SX1100-B",""
"J67","1","110b OPT.","806-SX1100-B","SX1100-B",""
"J68","1","BR OPT.","806-SX1100-B","SX1100-B",""
"U3","1","LM7805_TO220","926-LM7805CT/NOPB","LM7805CT/NOPB",""
"U1","1","MC14411","ALIEXPRESS or EBAY","MC14411",""
"C52,C53","2","OPT.","","NOT FITTED",""
