"Reference","Value","Footprint","Qty","Manufacturer","Mouser PN"
"C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C19,C20,C21,C22,C23","100N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","19","K104K10X7RF53H5","594-K104K10X7RF53H5"
"C6,C17,C18","100uF 16V","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","3","ECA-1CKA101","667-ECA-1CKA101"
"C16","9-50pF","Capacitor_THT:DX_5R5HxxxxU_D11.5mm_P10.00mm","1","","ALIEXPRESS"
"C24","1pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1","NOT FITTED",""
"C25","10pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1","NOT FITTED",""
"D1","POWER","LED_THT:LED_D4.0mm","1","WP710A10GD","604-WP710A10GD"
"D2","SEL","LED_THT:LED_D4.0mm","1","WP710A10GC","604-WP710A10GC"
"D3","1N4148","Diode_THT:D_DO-15_P10.16mm_Horizontal","1","1N4148","512-1N4148"
"J1,J2,J3","Conn_01x50_Socket","Connector_Molex:Molex_KK-396_A-41792-0010_1x10_P3.96mm_Horizontal","3","09-48-2101","538-09-48-2101"
"J4","Conn_02x17_Odd_Even","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","1","","ALIEXPRESS"
"J5","DC37_Plug","Connector_Dsub:DSUB-37_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm","1","","ALIEXPRESS"
"JP2,JP3,JP5,JP7,TP1,TP2,TP3,TP4","~","-- mixed values --","8","","ALIEXPRESS"
"R1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C2201FCT00","594-MBB02070C2201FCT00"
"R2,R4,R10,RN1","1K","-- mixed values --","4","MBB02070C1001FCT00","594-MBB02070C1001FCT00"
"R3","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C4700FCT00","594-MBB02070C4700FCT00"
"R5,R6,R7,R8","150R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4","MBB02070C1500FCT00","594-MBB02070C1500FCT00"
"R9","180K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C1803FCT00","594-MBB02070C1803FCT00"
"R11","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C4702FCT00","594-MBB02070C4702FCT00"
"R12","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C1004FCT00","594-MBB02070C1004FCT00"
"RV1","50K","Potentiometer_THT:Potentiometer_Vishay_43_Horizontal","1","3006P-1-503LF","652-3006P-1-503LF"
"RV2","10K","Potentiometer_THT:Potentiometer_Vishay_43_Horizontal","1","3006W-1-103LF","652-3006W-1-103LF"
"U1","9602","Package_DIP:DIP-16_W7.62mm_LongPads","1","DM9602N","ALIEXPRESS"
"U2","74LS00","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS00N","595-SN74LS00N"
"U3","74S32","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS32NE4","595-SN74LS32NE4"
"U4","74S04","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74S04N","595-SN74S04N"
"U5","7406","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN7406N","595-SN7406N"
"U6","L7805CV","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","LM7805CT/NOPB","926-LM7805CT/NOPB"
"U7","74LS367N","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74LS367AN","595-SN74LS367AN"
"U8","74F245","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74F245N","595-SN74F245N"
"U9","WD2797","Package_DIP:DIP-40_W15.24mm","1","WD2797A-PL","ALIEXPRESS"
"U12","NE555P","Package_DIP:DIP-8_W7.62mm","1","NE555P","595-NE555P"
"U13","74LS138","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74LS138NE4","595-SN74LS138NE4"
"U14","74F138","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74F138N","595-SN74F138N"
"U15","74LS175","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74LS175N","595-SN74LS175N"
"X1","1MHz","Oscillator:Oscillator_DIP-8","1","ECS-10-13-1XH","520-ECS-10-13-1XH"
