"Reference","Value","Footprint","Qty","Manufacturer","Mouser PN"
"C1","47uF 16V","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1","ECA-1CM470I","667-ECA-1CM470I"
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11","100N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","10","K104K10X7RF53H5","594-K104K10X7RF53H5"
"D1","PA0","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D2","PA1","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D3","PA2","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D4","PA3","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D5","PA4","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D6","PA5","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D7","PA6","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D8","PA7","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D9","POWER","LED_THT:LED_D4.0mm","1","WP710A10GD","604-WP710A10GD"
"D10","SEL","LED_THT:LED_D4.0mm","1","WP710A10GC","604-WP710A10GC"
"D11,D12,D13,D14","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4","1N4001","637-1N4001"
"D15","CB2","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"J1,J2,J3","MOLEX CONN","Connector_Molex:Molex_KK-396_A-41792-0010_1x10_P3.96mm_Horizontal","3","09-48-2101","538-09-48-2101"
"J4","PORTB","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","1","","ALIEXPRESS"
"J5","BOUT","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","ALIEXPRESS"
"J6","DB25_F","Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","1","","ALIEXPRESS"
"JP1,JP2,JP3,JP4","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","4","","ALIEXPRESS"
"JP5,JP6,JP7,JP8,JP9","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","5","","ALIEXPRESS"
"R1,R2,R3,R4,R5,R6,R7,R8,R14","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","9","MBB02070C1001FCT00","594-MBB02070C1001FCT00"
"R9,R11,R12","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","MBB02070C4700FCT00","594-MBB02070C4700FCT00"
"R10,R13","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","MBB02070C2201FCT00","594-MBB02070C2201FCT00"
"U1","L7805CV","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","LM7805CT/NOPB","NOT NEEDED IF USING ATX PSU"
"U2","74LS125","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS125AN","595-SN74LS125AN"
"U3","74LS10","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS10N","595-SN74LS10N"
"U4","74LS02","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS02N","595-SN74LS02N"
"U5","6821","Package_DIP:DIP-40_W15.24mm","1","MC6821P","ALIEXPRESS"
"U6","74LS273","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS273N","595-SN74LS273N"
"U7,U8","74LS245","Package_DIP:DIP-20_W7.62mm_LongPads","2","SN74LS245N","595-SN74LS245N"
