"Reference","Value","Footprint","Qty","Manufacturer","Mouser PN"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C18,C21,C23,C27,C28,C29,C30,C32,C33,C34,C36","100N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","25","K104K10X7RF53H5","594-K104K10X7RF53H5"
"C10","47uF 16V","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","1","ECA-1CM470I","667-ECA-1CM470I"
"C16","1uF Tant.","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","C315C105K3R5TA","80-C315C105K3R5TA"
"C17,C24","0.47uF","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","2","R82DC3470DQ60K","80-R82DC3470DQ60K"
"C19","220p","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1","K221J15COGF53L2","594-K221J15COGF53L2"
"C20,C22","10N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","2","RSBEC2100CK00K","80-RSBEC2100CK00K"
"C25,C26","27p","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","2","K270J15COGF5TL2","594-K270J15COGF5TL2"
"C31","100p","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","1","SR212A101KAR","581-SR212A101KAR"
"D1","POWER","LED_THT:LED_D4.0mm","1","WP710A10GD","604-WP710A10GD"
"D2","BREQ","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D3","HALT","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D4","BA","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"D5","BS","LED_THT:LED_D4.0mm","1","WP710A10RD/J4","604-WP710A10RD/J4"
"J1,J2,J3,J4,J5","MOLEX CONN","Connector_Molex:Molex_KK-396_A-41792-0010_1x10_P3.96mm_Horizontal","5","09-48-2101","538-09-48-2101"
"JP1,JP4,JP5","~","-- mixed values --","3","OPEN","NONE"
"R1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C2201FCT00","594-MBB02070C2201FCT00"
"R2,R3","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","MBB02070C1001FCT00","594-MBB02070C1001FCT00"
"R4,R5,R10,R16,R18","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5","MBB02070C1002FCT00","594-MBB02070C1002FCT00"
"R6,R8,R9","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","MBB02070C1004FCT00","594-MBB02070C1004FCT00"
"R7,R11,R12,R13,R14","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5","MBB02070C4700FCT00","594-MBB02070C4700FCT00"
"R15","1OK","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C1002FCT00","594-MBB02070C1002FCT00"
"RN1,RN2,RN3","4K7","Resistor_THT:R_Array_SIP9","3","4609X-101-472LF","652-4609X-1LF-4.7K"
"SW1","RESET","Button_Switch_THT:SW_PUSH_6mm_H5mm","1","210-4MS","774-2104MST"
"SW2","NMI","Button_Switch_THT:SW_PUSH_6mm_H5mm","1","210-4MS","774-2104MST"
"U1","74LS74","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS74AN","595-SN74LS74AN"
"U2","74LS240","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS240N","595-SN74LS240N"
"U3","74LS86","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS86AN","595-SN74LS86AN"
"U4","74LS00","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS00N","595-SN74LS00N"
"U5","74LS241","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS241N","595-SN74LS241N"
"U6","74LS21","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS21N","595-SN74LS21N"
"U7,U8","NE555P","Package_DIP:DIP-8_W7.62mm_LongPads","2","NE555P","595-NE555P"
"U9","MC6809","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","1","MC6809P","ALIEXPRESS"
"U10","74LS640","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS640N","595-SN74LS640N"
"U11,U12","74LS244","Package_DIP:DIP-20_W7.62mm_LongPads","2","SN74LS244N","595-SN74LS244N"
"U13","74LS688","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS688N","595-SN74LS688N"
"U14,U15","EPROM","Package_DIP:DIP-28_W15.24mm","2","2716 OR 28C16","ALIEXPRESS"
"U16","74LS138","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74LS138NE4","595-SN74LS138NE4"
"Ureg1","LM309K","Package_TO_SOT_THT:TO-3","1","LM309K/H","ALIEXPRESS"
"Y1","4MHz","Crystal:Crystal_HC49-U_Horizontal_1EP_style2","1","MP040","774-MP040"
