"Reference","Value","Footprint","Qty","Manufacturer","Mouser PN"
"C1,C2,C3,C4,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16","100N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","14","K104K10X7RF53H5","594-K104K10X7RF53H5"
"C5","1uF Tant.","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","C315C105K3R5TA","80-C315C105K3R5TA"
"C8","47uF 16V","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","1","ECA-1CM470I","667-ECA-1CM470I"
"D1","POWER","LED_THT:LED_D4.0mm","1","WP710A10GD","604-WP710A10GD"
"D2","SELECT","LED_THT:LED_D4.0mm","1","WP710A10GC","604-WP710A10GC"
"J1,J2,J3,J4,J5","Conn_01x50_Socket","Connector_Molex:Molex_KK-396_A-41792-0010_1x10_P3.96mm_Horizontal","5","09-48-2101","538-09-48-2101"
"JP1","LEAVE UNCONNECTED","JumperOpen2:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1","","NOT FITTED"
"R1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C2201FCT00","594-MBB02070C2201FCT00"
"R2","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C4700FCT00","594-MBB02070C4700FCT00"
"RN1","10K","Resistor_THT:R_Array_SIP9","1","4609X-101-103LF","652-4609X-101-103LF"
"SW1","SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_LongPads","1","208-8","774-2088"
"U1,U2","74LS21","-- mixed values --","2","SN74LS21N","595-SN74LS21N"
"U3","L7805CV","digikey-footprints:TO-220-3","1","LM7805CT/NOPB","NOT NEEDEDIF USING ATX PSU"
"U4","74LS00","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS00N","595-SN74LS00N"
"U5","74LS138","Package_DIP:DIP-16_W7.62mm_LongPads","1","SN74LS138NE4","595-SN74LS138NE4"
"U6","74LS640","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS640N","595-SN74LS640N"
"U7,U8","HM62256BLP","Package_DIP:DIP-28_W15.24mm","2","HM62256BL","ALIEXPRESS"
