"Reference","Value","Footprint","Qty","Manufacturer","Mouser PN"
"C1,C2,C4,C5,C7,C8,C9,C10,C12,C13,C14,C19,C20,C25,C26,C31","100N","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","16","K104K10X7RF53H5","594-K104K10X7RF53H5"
"C3,C6","1uF Tant.","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2","C315C105K3R5TA","80-C315C105K3R5TA"
"C11","47uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","1","ECA-1CM470I","667-ECA-1CM470I"
"C15,C16,C17,C18,C21,C22,C23,C24,C27,C28,C29,C30","100p","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","12","1C10COG101J050B","75-1C10COG101J050B"
"D3","SEL","LED_THT:LED_D4.0mm","1","WP710A10GC","604-WP710A10GC"
"D4,D5,D7,D8","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4","1N4001","637-1N4001"
"D6","POWER","LED_THT:LED_D4.0mm","1","WP710A10GD","604-WP710A10GD"
"J1,J2,J5,J6","302-S101","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","4"," ","ALIEXPRESS"
"J3,J7,J8","MOLEX CONN","Connector_Molex:Molex_KK-396_A-41792-0010_1x10_P3.96mm_Horizontal","3","09-48-2101","538-09-48-2101"
"J4","DE9","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","1","","ALIEXPRESS"
"J9","DB25_F","Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm","1","","ALIEXPRESS"
"J10","IN 1-4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","ALIEXPRESS"
"J11","Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","1","","ALIEXPRESS"
"J12","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","ALIEXPRESS"
"R1,R3,R4,R6","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4","MBB02070C4700FCT00","594-MBB02070C4700FCT00"
"R5","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","MBB02070C2201FCT00","594-MBB02070C2201FCT00"
"U1","74LS02","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS02N","595-SN74LS02N"
"U2","74LS10","Package_DIP:DIP-14_W7.62mm_LongPads","1","SN74LS10N","595-SN74LS10N"
"U3,U4","MC6850","Package_DIP:DIP-24_W15.24mm_LongPads","2","MC6850","ALIEXPRESS"
"U5","74LS240","Package_DIP:DIP-20_W7.62mm_LongPads","1","SN74LS240N","595-SN74LS240N"
"U6,U8,U9","MC1489PG","Package_DIP:DIP-14_W7.62mm_LongPads","3","MC1489PG","ALIEXPRESS"
"U7","MC1488PG","Package_DIP:DIP-14_W7.62mm_LongPads","1","MC1488PG","ALIEXPRESS"
"U10","L7805CV","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1","LM7805CT/NOPB","NOT NEEDED IF USING ATX PSU"
"U11","L78L12","Package_TO_SOT_THT:TO-92_Inline","1","LM78L12ACZ/NOPB","NOT NEEDED IF USING ATX PSU"
"U12","L79L12","Package_TO_SOT_THT:TO-92_Inline","1","LM7L912ACZ/NOPB","NOT NEEDED IF USING ATX PSU"
